Year,d13C Atmosphere
1850,-6.41
1851,-6.42
1852,-6.42
1853,-6.43
1854,-6.43
1855,-6.43
1856,-6.44
1857,-6.44
1858,-6.45
1859,-6.45
1860,-6.46
1861,-6.46
1862,-6.47
1863,-6.47
1864,-6.47
1865,-6.48
1866,-6.48
1867,-6.49
1868,-6.49
1869,-6.5
1870,-6.5
1871,-6.51
1872,-6.51
1873,-6.51
1874,-6.52
1875,-6.52
1876,-6.53
1877,-6.53
1878,-6.54
1879,-6.54
1880,-6.55
1881,-6.55
1882,-6.55
1883,-6.56
1884,-6.56
1885,-6.57
1886,-6.57
1887,-6.58
1888,-6.58
1889,-6.58
1890,-6.59
1891,-6.59
1892,-6.6
1893,-6.6
1894,-6.61
1895,-6.61
1896,-6.62
1897,-6.62
1898,-6.62
1899,-6.63
1900,-6.63
1901,-6.64
1902,-6.64
1903,-6.65
1904,-6.65
1905,-6.66
1906,-6.66
1907,-6.66
1908,-6.67
1909,-6.67
1910,-6.68
1911,-6.68
1912,-6.69
1913,-6.69
1914,-6.7
1915,-6.7
1916,-6.7
1917,-6.71
1918,-6.71
1919,-6.72
1920,-6.72
1921,-6.73
1922,-6.73
1923,-6.74
1924,-6.74
1925,-6.74
1926,-6.75
1927,-6.75
1928,-6.76
1929,-6.76
1930,-6.77
1931,-6.77
1932,-6.78
1933,-6.78
1934,-6.78
1935,-6.79
1936,-6.79
1937,-6.8
1938,-6.8
1939,-6.81
1940,-6.81
1941,-6.82
1942,-6.82
1943,-6.82
1944,-6.83
1945,-6.83
1946,-6.84
1947,-6.84
1948,-6.85
1949,-6.85
1950,-6.86
1951,-6.86
1952,-6.86
1953,-6.87
1954,-6.87
1955,-6.88
1956,-6.88
1957,-6.89
1958,-6.89
1959,-6.9
1960,-6.9
1961,-6.9
1962,-6.92
1963,-6.95
1964,-6.98
1965,-7.01
1966,-7.03
1967,-7.06
1968,-7.09
1969,-7.12
1970,-7.15
1971,-7.17
1972,-7.2
1973,-7.23
1974,-7.26
1975,-7.29
1976,-7.32
1977,-7.34
1978,-7.37
1979,-7.4
1980,-7.43
1981,-7.46
1982,-7.48
1983,-7.51
1984,-7.54
1985,-7.57
1986,-7.6
1987,-7.62
1988,-7.65
1989,-7.68
1990,-7.71
1991,-7.74
1992,-7.77
1993,-7.79
1994,-7.82
1995,-7.85
1996,-7.88
1997,-7.91
1998,-7.93
1999,-7.96
2000,-7.99
2001,-8.02
2002,-8.05
2003,-8.08
2004,-8.1
2005,-8.13
2006,-8.16
2007,-8.19
2008,-8.22
2009,-8.24
2010,-8.27
